park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,model_folder,file_name_3d_model,home_team_dugout_is_at_first_base
1,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0055,1.0111,1.0025,1.0121,0.8459,1.0997,1.0791,1.1378,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,6,333,349,364,400,373,346,318,7,7,7,7,7,25,25,"Oriole Park at Camden Yards","oriole_park_at_camden_yards_d.webp","oriole_park_at_camden_yards_n.webp",0,48290,0,0,0,0,"./oriole_park_at_camden_yards","oriole_park_at_camden_yards.pod",1
2,0,0,337,355,140,355,443,231,86,311,246,303,0,266,266,420,336,47,150,67,264,444,0,317,411,274,218,262,209,157,144,169,1.0497,1.0559,1.0465,1.0816,0.9243,0.9731,1.0186,0.8887,29,32,39,48,59,68,74,72,65,54,45,35,4,3,4,4,4,3,3,3,3,3,4,3,12,6,310,335,379,390,383,380,302,37,37,18,9,9,3,3,"Fenway Park","fenway_park_d.webp","fenway_park_n.webp",0,37402,0,0,0,0,"./fenway_park","fenway_park.pod",1
3,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0020,1.0067,0.9994,1.0335,0.9004,1.1994,1.2507,1.1041,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,7,330,352,372,400,372,352,335,8,8,8,8,8,8,8,"U.S. Cellular Field","guaranteed_rate_field_d.webp","guaranteed_rate_field_n.webp",0,40615,0,0,0,0,"./guaranteed_rate_field","guaranteed_rate_field.pod",1
4,0,0,337,355,134,354,443,224,75,304,246,294,0,252,252,420,334,44,149,53,255,438,0,303,411,265,205,255,210,143,109,158,0.9854,0.9858,0.9853,1.0286,0.8135,0.9468,0.8665,1.0961,26,28,38,48,59,68,72,70,63,52,42,31,6,5,5,5,4,4,3,3,3,3,5,5,11,8,325,348,370,405,375,350,325,19,19,19,9,9,14,14,"Progressive Field","progressive_field_d.webp","progressive_field_n.webp",0,43415,0,0,0,0,"./progressive_field","progressive_field.pod",1
5,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0019,0.9985,1.0038,0.9642,1.2138,0.9718,0.9710,0.9733,25,27,37,48,60,69,74,72,64,52,41,30,4,4,4,4,4,3,3,3,3,3,4,4,10,6,345,370,398,420,403,356,330,8,8,9,8,12,8,8,"Comerica Park","comerica_park_d.webp","comerica_park_n.webp",0,41255,0,0,0,0,"./comerica_park","comerica_park.pod",0
6,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0036,1.0095,1.0004,0.9872,1.2424,0.9285,0.9455,0.8967,27,33,44,54,64,74,79,77,68,57,43,31,3,3,3,4,4,3,3,3,3,3,3,3,11,1,330,362,385,410,385,362,330,8,8,8,8,8,8,8,"Kauffman Stadium","kauffman_stadium_d.webp","kauffman_stadium_n.webp",0,37840,0,0,0,0,"./kauffman_stadium","kauffman_stadium.pod",1
7,0,0,323,362,148,362,443,224,86,315,254,303,0,266,242,420,333,47,150,67,237,440,0,317,411,278,226,268,217,167,140,180,0.9834,0.9831,0.9836,0.9527,0.8585,0.9035,0.9052,0.9005,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,6,330,371,387,400,375,363,330,5,5,8,8,8,5,5,"Angel Stadium of Anaheim","angel_stadium_of_anaheim_d.webp","angel_stadium_of_anaheim_n.webp",0,45285,0,0,0,0,"./angel_stadium_of_anaheim","angel_stadium_of_anaheim.pod",0
8,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0109,1.0133,1.0096,0.9880,1.1072,0.9319,0.9654,0.8697,13,20,32,47,59,68,73,71,61,49,33,19,3,3,3,3,4,4,4,3,3,3,3,3,11,2,339,358,377,404,378,367,328,8,8,8,8,23,23,23,"Target Field","target_field_d.webp","target_field_n.webp",0,39500,0,0,0,0,"./target_field","target_field.pod",1
9,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,0.9925,0.9819,0.9982,1.0046,0.8467,1.1002,1.0156,1.2573,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,6,318,359,392,408,385,353,314,8,8,7,7,9,10,10,"Yankee Stadium","yankee_stadium_d.webp","yankee_stadium_n.webp",0,57545,0,0,0,0,"./yankee_stadium","yankee_stadium.pod",1
10,0,0,337,355,140,355,430,224,86,315,254,303,0,257,253,420,333,47,150,65,264,435,0,317,413,278,226,268,217,135,122,148,0.9767,0.9811,0.9744,0.9762,1.0970,0.9097,0.9437,0.8465,48,51,51,55,57,60,62,62,64,60,53,48,5,4,3,2,1,0,0,0,0,1,3,4,10,3,330,367,388,400,388,367,330,8,8,15,8,15,8,8,"O.co Coliseum","oakland_coliseum_d.webp","oakland_coliseum_n.webp",0,35067,0,0,0,0,"./oakland_coliseum","oakland_coliseum.pod",0
